项目ID,项目,日期,事件类型,事件,说明,资料标题,资料链接
GL140,Impala Refining Services Base Metals Refinery (Springs) 英帕拉铂业斯普林斯贱金属精炼厂,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-140 · 总表第141行,library/global-register.csv
GL141,Nkomati Nickel Mine (MMZ & PCMZ concentrators) 恩科马蒂镍矿选矿厂,1998,投产,开始生产（底表投产年）,恩科马蒂镍矿选矿厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-141 · 总表第142行,library/global-register.csv
GL141,Nkomati Nickel Mine (MMZ & PCMZ concentrators) 恩科马蒂镍矿选矿厂,2021,运营变化,保养维护(C&M),镍价低迷叠加成本上升：地下矿已于2015年停产转入保养维护；2019年8月ARM即已公开宣布拟于2020年9月前将全矿转入保养维护状态(据USGS MYB 2019)；露天矿(MMZ/PCMZ)可采资源采竭，实际已于2021年2月停止露天开采，2021年3月正式转入保养维护状态为关闭做准备(据USGS MYB 2021)，未见2022-2026年间复产报道。,全球普查底表 · NI-141 · 总表第142行,library/global-register.csv
GL142,Northam Platinum Zondereinde Smelter & Base Metals Refinery 诺瑟姆铂业桑德雷恩德冶炼厂及贱金属精炼厂,2005,投产,开始生产（底表投产年）,诺瑟姆铂业桑德雷恩德冶炼厂及贱金属精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-142 · 总表第143行,library/global-register.csv
GL142,Northam Platinum Zondereinde Smelter & Base Metals Refinery 诺瑟姆铂业桑德雷恩德冶炼厂及贱金属精炼厂,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-142 · 总表第143行,library/global-register.csv
GL143,"Thakadu Nickel Sulfate Plant, Marikana 萨卡杜硫酸镍厂(马里卡纳)",2019,投产,开始生产（底表投产年）,萨卡杜硫酸镍厂(马里卡纳)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-143 · 总表第144行,library/global-register.csv
GL143,"Thakadu Nickel Sulfate Plant, Marikana 萨卡杜硫酸镍厂(马里卡纳)",2021,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-143 · 总表第144行,library/global-register.csv
GL144,Lonmin (Sibanye-Stillwater) Base Metals Refinery 隆明(西班尼-思达伟)贱金属精炼厂,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-144 · 总表第145行,library/global-register.csv
GL145,Rustenburg Base Metals Refinery (RBMR) / Waterval Smelter Complex 鲁斯滕堡贱金属精炼厂(RBMR，含瓦特瓦尔冶炼厂),2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-145 · 总表第146行,library/global-register.csv
GL146,BCL Smelter (Selebi-Phikwe Nickel-Copper Smelter) BCL塞莱比皮奎镍铜冶炼厂,1973,投产,开始生产（底表投产年）,BCL塞莱比皮奎镍铜冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-146 · 总表第147行,library/global-register.csv
GL146,BCL Smelter (Selebi-Phikwe Nickel-Copper Smelter) BCL塞莱比皮奎镍铜冶炼厂,2016,运营变化,永久关闭,长期亏损：公司原计划运营至2010年，后延至2013年，最终于2016年9月因持续亏损、矿石品位下降及现金流枯竭而全面停产并进入清算，导致大量失业，塞莱比皮奎镇经济受到严重冲击。,全球普查底表 · NI-146 · 总表第147行,library/global-register.csv
GL147,Tati Nickel Activox Base-Metals Refinery Project 塔蒂镍业Activox贱金属精炼项目(未建成),2006,运营变化,项目中止(未建成),2006年8月获批后仅出现于当年USGS Minerals Yearbook记录，此后(2007年及以后)未见于任何后续版本的USGS资料或其它信源，据此推断项目在规划阶段即被搁置或取消，具体原因(资金、镍价周期、Norilsk Nickel收购LionOre后的战略调整等)本次调研未能独立核实。,全球普查底表 · NI-147 · 总表第148行,library/global-register.csv
GL148,Kabanga Nickel Project & Kahama Hydrometallurgical Refinery (planned) 卡班加镍矿及卡哈马湿法冶金精炼厂(规划中),2024,运营变化,规划中或可研,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-148 · 总表第149行,library/global-register.csv
GL149,Ntaka Hill Nickel-Cobalt Laterite Project 恩塔卡山镍钴红土矿项目,2013,运营变化,不详,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-149 · 总表第150行,library/global-register.csv
GL150,"Musongati Nickel Laterite Project (planned, never built) 穆松加蒂镍红土矿项目(规划中，从未建成)",2011,运营变化,项目中止(未建成),项目长期停留在勘探/可行性研究阶段：矿区地处内陆，缺乏配套铁路/港口基础设施(拟议中的坦桑尼亚-布隆迪吉特加铁路线途经该矿区，但该铁路本身亦未建成)，叠加融资困难与布隆迪国内政治经济环境不稳定，导致项目历经数十年(1970年代至今)始终未能进入建设阶段。,全球普查底表 · NI-150 · 总表第151行,library/global-register.csv
GL151,Bou Azzer Cobalt-Nickel Complex (CTT / Managem) 布阿泽尔钴镍联合厂(CTT/曼纳吉姆),1928,投产,开始生产（底表投产年）,布阿泽尔钴镍联合厂(CTT/曼纳吉姆)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-151 · 总表第152行,library/global-register.csv
GL151,Bou Azzer Cobalt-Nickel Complex (CTT / Managem) 布阿泽尔钴镍联合厂(CTT/曼纳吉姆),2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-151 · 总表第152行,library/global-register.csv
GL152,Bindura Smelter & Refinery Complex (Bindura Nickel Corporation / Trojan Mine) 宾杜拉镍冶炼及精炼厂(宾杜拉镍业公司/特洛伊矿),1968,投产,开始生产（底表投产年）,宾杜拉镍冶炼及精炼厂(宾杜拉镍业公司/特洛伊矿)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-152 · 总表第153行,library/global-register.csv
GL152,Bindura Smelter & Refinery Complex (Bindura Nickel Corporation / Trojan Mine) 宾杜拉镍冶炼及精炼厂(宾杜拉镍业公司/特洛伊矿),2008,运营变化,停产(可复产),2008年因镍价暴跌陷入停产并转入保养维护；2011-2020年间多次尝试复产均未能稳定实现；2024年5月2日津巴布韦政府依据国家重组法对公司下达重组令，公司进入管理人接管状态并对运营/财务展开调查，同期VFEX交易所暂停其证券交易——表明截至2024-2025年，公司仍处于严重财务危机与治理不确定性之中，冶炼/精炼环节大概率仍未稳定复产。,全球普查底表 · NI-152 · 总表第153行,library/global-register.csv
GL153,Empress Nickel Refinery (ENR) 皇后镍精炼厂,1968,投产,开始生产（底表投产年）,皇后镍精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-153 · 总表第154行,library/global-register.csv
GL153,Empress Nickel Refinery (ENR) 皇后镍精炼厂,2008,运营变化,保养维护(C&M),2008年镍价暴跌导致停产；此后长期未见稳定复产报道。据RioZim官网2025年信息，公司陈述'老化的基础设施和设备故障已严重影响Renco(金矿)和皇后精炼厂的运营'，表明该厂近期虽仍被列为集团资产并存在运营尝试，但因设备老化陷入严重减产/间歇性停产状态，这与ENR自2008年后长期停产的一般行业认知存在一定张力，两种信息均列出以供报告撰写人判断。,全球普查底表 · NI-153 · 总表第154行,library/global-register.csv
GL154,Hartley Platinum Mine PGM Base-Metals Refinery (byproduct nickel) 哈特利铂矿铂族金属贱金属精炼厂(副产镍),1997,投产,开始生产（底表投产年）,哈特利铂矿铂族金属贱金属精炼厂(副产镍)的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-154 · 总表第155行,library/global-register.csv
GL154,Hartley Platinum Mine PGM Base-Metals Refinery (byproduct nickel) 哈特利铂矿铂族金属贱金属精炼厂(副产镍),1997,运营变化,不详,1997年10月首次发运后，仅见于当年USGS Minerals Yearbook记录，此后未见于任何后续版本，具体停产/退出的年份及原因本次调研未能独立核实，列为重要缺口。,全球普查底表 · NI-154 · 总表第155行,library/global-register.csv
GL155,Zimplats Selous Metallurgical Complex (Smelter) 津巴布韦铂业塞卢斯冶炼厂,2006,投产,开始生产（底表投产年）,津巴布韦铂业塞卢斯冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-155 · 总表第156行,library/global-register.csv
GL155,Zimplats Selous Metallurgical Complex (Smelter) 津巴布韦铂业塞卢斯冶炼厂,2025,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-155 · 总表第156行,library/global-register.csv
GL156,Western Côte d'Ivoire Nickel Laterite Prospects (Sipilou / Foungouesso / Moyango / Biankouma) — exploration/pre-development stage 科特迪瓦西部镍红土矿勘探项目群(西皮鲁/丰古埃索/莫扬戈/比安库马),2014,运营变化,不详,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-156 · 总表第157行,library/global-register.csv
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2012,投产,开始生产（底表投产年）,安巴托维图阿马西纳湿法冶炼及精炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-157 · 总表第158行,library/global-register.csv
MHP048,Ambatovy Minerals S.A. / Dynatec Madagascar S.A. 安巴托维镍钴项目,2026,运营变化,在产,底表所列状态起始年；最近核实年份与事件发生年份分别记录。,全球普查底表 · NI-157 · 总表第158行,library/global-register.csv
GL158,Kleva Nickel Mine & Smelter (Kleva gruva) 克莱瓦(Kleva)镍矿及冶炼厂,1845,投产,开始生产（底表投产年）,克莱瓦(Kleva)镍矿及冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-158 · 总表第159行,library/global-register.csv
GL158,Kleva Nickel Mine & Smelter (Kleva gruva) 克莱瓦(Kleva)镍矿及冶炼厂,1920,运营变化,永久关闭,"1876-1877年产量见顶后,新喀里多尼亚发现规模更大、品位更优的红土镍矿引发国际镍价格崩盘,克莱瓦矿冶炼经济性丧失,历经间歇运营后于1920年最终关闭;二战期间曾短暂重新处理库存矿石服务军工需求,但未恢复常态化生产",全球普查底表 · NI-158 · 总表第159行,library/global-register.csv
GL159,Bamble Nikkelverk (Bamble Nickel Works) 巴姆布勒(Bamble)镍厂,1859,投产,开始生产（底表投产年）,巴姆布勒(Bamble)镍厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-159 · 总表第160行,library/global-register.csv
GL159,Bamble Nikkelverk (Bamble Nickel Works) 巴姆布勒(Bamble)镍厂,1919,运营变化,永久关闭,"存疑;未查得具体停产原因的一手资料。推测与19世纪末-20世纪初新喀里多尼亚/加拿大萨德伯里新镍矿冲击导致传统硫化矿镍冶炼经济性下降有关(参见同期挪威灵厄里克镍厂、瑞典克莱瓦镍矿、奥地利施拉德明镍厂均因类似原因关闭),但本记录未找到直接证据",全球普查底表 · NI-159 · 总表第160行,library/global-register.csv
GL160,Drury Nickel Company Smelter (Chicago Mine) 德鲁里镍业公司芝加哥矿冶炼厂,1890,投产,开始生产（底表投产年）,德鲁里镍业公司芝加哥矿冶炼厂的底表投产年份；试产、商业投产及前身设施的区分见历史正文。,全球普查底表 · NI-160 · 总表第161行,library/global-register.csv
